X,Y,Layer,Eff_ADC,E
-99.721,-14.5008,1,88.66,483.746
-94.5197,-12.699,1,2583.4,483.746
-93.4794,-13.2996,1,141.98,483.746
-87.2379,-20.5067,1,93,483.746
-32.9758,40.2992,2,121.68,483.746
-32.9758,41.1,2,130.13,483.746
-32.2823,40.6996,2,119.99,483.746
-86.1477,-35.6081,2,348,483.746
-97.6405,-12.0984,2,107.88,483.746
-95.56,-13.2996,2,158.1,483.746
-95.56,-12.0984,2,241.18,483.746
-95.56,-9.69607,2,95.48,483.746
-94.5197,-13.9002,2,308.76,483.746
-94.5197,-12.699,2,9965.14,483.746
-94.5197,-11.4978,2,512.159,483.746
-93.4794,-14.5008,2,117.18,483.746
-93.4794,-13.2996,2,153.76,483.746
-93.4794,-12.0984,2,88.66,483.746
-93.4794,-7.2937,2,91.76,483.746
-89.3184,-12.0984,2,115.32,483.746
-105.022,-15.1014,2,135.16,483.746
-32.2823,40.6996,3,108.16,483.746
-31.5888,40.2992,3,199.42,483.746
-33.7693,43.102,3,172.38,483.746
-97.6405,-13.2996,3,102,483.746
-97.6405,-12.0984,3,164,483.746
-97.6405,-9.69607,3,172,483.746
-96.6002,-13.9002,3,111,483.746
-96.6002,-12.699,3,548,483.746
-95.56,-14.5008,3,600,483.746
-95.56,-13.2996,3,2835.52,483.746
-95.56,-12.0984,3,13736.8,483.746
-95.56,-9.69607,3,309,483.746
-94.5197,-13.9002,3,266,483.746
-94.5197,-12.699,3,9265.77,483.746
-94.5197,-11.4978,3,583,483.746
-93.4794,-13.2996,3,196,483.746
-93.4794,-12.0984,3,121,483.746
-93.4794,-10.8972,3,152,483.746
-93.4794,-9.69607,3,199,483.746
-92.4392,-11.4978,3,142,483.746
-88.2282,-34.4069,3,135,483.746
-87.1879,-33.8063,3,202,483.746
-86.1477,-36.8093,3,252,483.746
-86.1477,-35.6081,3,604,483.746
-85.1074,-36.2087,3,117,483.746
-97.6405,-16.9032,4,128,483.746
-97.6405,-12.0984,4,149,483.746
-97.6405,-10.8972,4,117,483.746
-97.6405,-9.69607,4,282,483.746
-96.6002,-12.699,4,1127.48,483.746
-96.6002,-11.4978,4,434,483.746
-96.6002,-10.2967,4,174,483.746
-95.56,-14.5008,4,128,483.746
-95.56,-13.2996,4,6427.42,483.746
-95.56,-12.0984,4,35916.2,483.746
-95.56,-10.8972,4,251,483.746
-94.5197,-13.9002,4,447,483.746
-94.5197,-12.699,4,2207.56,483.746
-94.5197,-11.4978,4,104,483.746
-93.4794,-13.2996,4,224,483.746
-92.4392,-15.1014,4,129,483.746
-88.2282,-34.4069,4,323,483.746
-87.1879,-36.2087,4,98,483.746
-86.1477,-35.6081,4,340,483.746
